area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P134/N01,Kuala Linggi,Kuala Linggi,Azmi Sambul,Azmi Bin Sambul,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Kuala Linggi,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N01,Kuala Linggi,Kuala Linggi,Hasmorin Tamby,Hasmorin BIn Tamby,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Kuala Linggi,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P134/N01,Kuala Linggi,Kuala Linggi,Ismail Othman,Ismail BIn Othman,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Kuala Linggi,,National Front,Barisan Nasional,UMNO,,,,,,,
P134/N02,Tanjung Bidara,Tanjung Bidara,Halim Bachik,Halim Bin Bachik,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Tanjung Bidara,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N02,Tanjung Bidara,Tanjung Bidara,Imran Abdul Rahman,Imran Bin Abdul Rahman,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Tanjung Bidara,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N02,Tanjung Bidara,Tanjung Bidara,Md Rawi Mahmud,Md Rawi Bin Mahmud,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Tanjung Bidara,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N03,Ayer Limau,Ayer Limau,Amirudin Yusof,Amirudin BIn Yusof,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Ayer Limau,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N03,Ayer Limau,Ayer Limau,Jamrudin Ahmad,Jamrudin BIn Ahmad,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Ayer Limau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N03,Ayer Limau,Ayer Limau,Ruslin Hasan,Ruslin Bin Hasan,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Ayer Limau,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P134/N04,Lendu,Lendu,Arshad Mohamad Som,Arshad Bin Mohamad Som,GE14 Candidate for Melaka State Assembly,,GE14 Candidate State Representative for Lendu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
