area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P081/N09,Tahan,Tahan,Mohd Zakhwan Ahmad Badarddin,Mohd Zakhwan Bin Ahmad Badarddin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tahan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P081/N09,Tahan,Tahan,Nordim Samat,Nordim Bin Samat,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tahan,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P081/N09,Tahan,Tahan,Wan Amizan Wan Abdul Razak,Wan Amizan Bin Wan Abdul Razak,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tahan,,National Front,Barisan Nasional,UMNO,,,,,,,
P081/N10,Damak,Damak,Lim Chong Ly,Lim Chong Ly,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Damak,,National Front,Barisan Nasional,MCA,,,,,,,
P081/N10,Damak,Damak,Wong Chun Yuan,Wong Chun Yuan,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Damak,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P081/N10,Damak,Damak,Zuridan Mohd Daud,Zuridan Bin Mohd Daud,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Damak,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P081/N11,Pulau Tawar,Pulau Tawar,Ahmad Naawi Samah,Ahmad Naawi Bin Samah,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Pulau Tawar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P081/N11,Pulau Tawar,Pulau Tawar,Jamaluddin Abd Rahim,Jamaluddin Bin Abd Rahim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Pulau Tawar,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P081/N11,Pulau Tawar,Pulau Tawar,Nazri Ngah,Nazri Bin Ngah,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Pulau Tawar,,National Front,Barisan Nasional,UMNO,,,,,,,
P082/N12,Beserah,Beserah,Andansura Rabu,Andansura Bin Rabu,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Beserah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P082/N12,Beserah,Beserah,Suhaimi Jusoh @ Sulong,Suhaimi Bin Jusoh @ Sulong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Beserah,,National Front,Barisan Nasional,UMNO,,,,,,,
P082/N12,Beserah,Beserah,Zulklikfi Mohamed,Zulklikfi Bin Mohamed,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Beserah,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P082/N13,Semambu,Semambu,Lee Chean Chung,Lee Chean Chung,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Semambu,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P082/N13,Semambu,Semambu,Mohd Yusof Hashin,Mohd Yusof Bin Hashin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Semambu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P082/N13,Semambu,Semambu,Quek Tai Seong,Quek Tai Seong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Semambu,,National Front,Barisan Nasional,MCA,,,,,,,
P083/N14,Teruntum,Teruntum,Azizah Mohd Ali,Azizah Binti Mohd Ali,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Teruntum,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P083/N14,Teruntum,Teruntum,Sim Chong Siang,Sim Chong Siang,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Teruntum,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P083/N14,Teruntum,Teruntum,Tee Choon Ser,Tee Choon Ser,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Teruntum,,National Front,Barisan Nasional,MCA,,,,,,,
P083/N15,Tanjung Lumpur,Tanjung Lumpur,Rosli Abdul Jabar,Rosli Bin Abdul Jabar,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tanjung Lumpur,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P083/N15,Tanjung Lumpur,Tanjung Lumpur,Sabrina Md Yusoff,Sabrina Bt Md Yusoff,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tanjung Lumpur,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
