area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P002/N07,Sena,Sena,Azihani Ali,Azihani Binti Ali,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Sena,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P002/N07,Sena,Sena,Fakhrul Anwar Ismail,Fakhrul Anwar Ismail,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Sena,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P002/N08,Indera Kayangan,Indera Kayangan,Chuah Tian Hee,Chuah Tian Hee,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Indera Kayangan,,National Front,Barisan Nasional,MCA,,,,,,,545de8605222837c2c05869e
P002/N08,Indera Kayangan,Indera Kayangan,Gan Ay Ling,Gan Ay Ling,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Indera Kayangan,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,536309c319ee29270d8a9e26
P002/N08,Indera Kayangan,Indera Kayangan,Wan Hassan Wan Ismail,Wan Hassan Wan Ismail,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Indera Kayangan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P002/N09,Kuala Perlis,Kuala Perlis,Azam Rashid,Azam Bin Rashid,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Kuala Perlis,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P002/N09,Kuala Perlis,Kuala Perlis,Mohd Fuat Abu Bakar,Mohd Fuat Bin Abu Bakar,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Kuala Perlis,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P002/N09,Kuala Perlis,Kuala Perlis,Nor Azam Karap,Nor Azam Bin Karap,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Kuala Perlis,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,536309c319ee29270d8a9e26
P002/N10,Kayang,Kayang,Abdul Hannaan Khairy,Abdul Hannaan Bin Khairy,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Kayang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,536309c319ee29270d8a9e26
P002/N10,Kayang,Kayang,Hamizan Hassan,Hamizan Bin Hassan,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Kayang,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P002/N10,Kayang,Kayang,Md Radzi Hassan,Md Radzi Bin Hassan,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Kayang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
