area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P030/N36,Bukit Bunga,Bukit Bunga,Mohd Adhan Kechik,Mohd Adhan Bin Kechik,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Bukit Bunga,,National Front,Barisan Nasional,UMNO,,,,,,,
P030/N36,Bukit Bunga,Bukit Bunga,Ramzi Mohd Yusoff,Ramzi Bin Mohd Yusoff,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Bukit Bunga,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P030/N37,Air Lanas,Air Lanas,Abdullah Ya'kub,Abdullah BIn Ya'kub,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Air Lanas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P030/N37,Air Lanas,Air Lanas,Aminuddin Yaacob,Aminuddin Bin Yaacob,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Air Lanas,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P030/N37,Air Lanas,Air Lanas,Mustapa Mohamed,Mustapa Bin Mohamed,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Air Lanas,,National Front,Barisan Nasional,UMNO,,,,,,,
P030/N38,Kuala Balah,Kuala Balah,Abdul Aziz Derashid,Abdul Aziz Bin Derashid,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kuala Balah,,National Front,Barisan Nasional,UMNO,,,,,,,
P030/N38,Kuala Balah,Kuala Balah,Mohd Apandi Mohamad,Mohd Apandi Mohamad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kuala Balah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P031/N39,Menkebang,Menkebang,Muhammad Mat Sulaiman,Muhammad Bin Mat Sulaiman,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Menkebang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P031/N39,Menkebang,Menkebang,Wan Mohamad Azlan Ahmad,Wan Mohamad Azlan Bin Ahmad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Menkebang,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P031/N39,Menkebang,Menkebang,Zaki Muhammad,Zaki Bin Muhammad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Menkebang,,National Front,Barisan Nasional,UMNO,,,,,,,
P031/N40,Guchil,Guchil,Abd Aziz Ahmad,Abd Aziz Bin Ahmad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Guchil,,Independent,Bebas,,,,,,,,
