area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P126/N01,Chennah,Chennah,Jamalus Mansor,Jamalus Bin Mansor,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Chennah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N01,Chennah,Chennah,Loke Siew Fook,Loke Siew Fook,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Chennah,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N01,Chennah,Chennah,Seet Tee Gee,Seet Tee Gee,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Chennah,,National Front,Barisan Nasional,MCA,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N02,Pertang,Pertang,Hamran Abu Hassan,Hamran Bin Abu Hassan,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Pertang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N02,Pertang,Pertang,Noor Azmi Yusof,Noor Azmi Bin Yusof,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Pertang,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N02,Pertang,Pertang,Osman Mohd Dusa,Osman bin Mohd Dusa,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Pertang,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N03,Sungai Lui,Sungai Lui,Abd Karim Shahimi Abd Razak,Abd Karim Shahimi Bin Abd Razak,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Sungai Lui,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P126/N03,Sungai Lui,Sungai Lui,Mohd Radzi Mohd Ali,Mohd Radzi Bin Mohd Ali,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Sungai Lui,,National Front,Barisan Nasional,UMNO,,,,,,,
P126/N03,Sungai Lui,Sungai Lui,Zainal Fikri Abd Kadir,Zainal Fikri Bin Abd Kadir,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Sungai Lui,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N04,Klawang,Klawang,Baharudin Jali,Baharudin Bin Jali,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Klawang,,National Front,Barisan Nasional,UMNO,,,,,,,
P126/N04,Klawang,Klawang,Bakri Sawir,Bakri Bin Sawir,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Klawang,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P126/N04,Klawang,Klawang,Mazly Yasin,Mazly Bin Yasin,GE14 Candidate for Negeri Sembilan State Assembly,,GE14 Candidate State Representative for Klawang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
