area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P034/N07,Langkap,Langkap,Sabri Mohd Noor,Sabri Bin Mohd Noor,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Langkap,,National Front,Barisan Nasional,UMNO,,,,,,,
P034/N08,Batu Rakit,Batu Rakit,Amir Long,Amir Bin Long,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Rakit,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P034/N08,Batu Rakit,Batu Rakit,Bazlan Abd Rahman,Bazlan Bin Abd Rahman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Rakit,,National Front,Barisan Nasional,UMNO,,,,,,,
P034/N08,Batu Rakit,Batu Rakit,Mohd Shafizi Ismail,Mohd Shafizi Bin Ismail,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Rakit,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P035/N09,Tepuh,Tepuh,Basir Ismail,Basir Bin Ismail,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Tepuh,,National Front,Barisan Nasional,UMNO,,,,,,,
P035/N09,Tepuh,Tepuh,Hishamuddin Abdul Karim,Hishamuddin Bin Abdul Karim,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Tepuh,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P035/N09,Tepuh,Tepuh,Wan Hafizie Suzlie Wan Hassan,Wan Hafizie Suzlie Bin Wan Hassan,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Tepuh,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P035/N10,Buluh Gading,Buluh Gading,Azik Chik,Azik Bin Chik,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Buluh Gading,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P035/N10,Buluh Gading,Buluh Gading,Che Mansor Salleh,Che Mansor Bin Salleh,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Buluh Gading,,National Front,Barisan Nasional,UMNO,,,,,,,
P035/N10,Buluh Gading,Buluh Gading,Ridzuan Hashim,Ridzuan Bin Hashim,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Buluh Gading,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P035/N11,Seberang Takir,Seberang Takir,Abu Bakar Abdullah,Abu Bakar Bin Abdullah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Seberang Takir,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P035/N11,Seberang Takir,Seberang Takir,Ahmad Razif Abd Rahman,Ahmad Razif Bin Abd Rahman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Seberang Takir,,National Front,Barisan Nasional,UMNO,,,,,,,
P035/N11,Seberang Takir,Seberang Takir,Mohd Fazil Wahab,Mohd Fazil Bin Wahab,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Seberang Takir,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P035/N12,Bukit Tunggal,Bukit Tunggal,Alias Razak,Alias Bin Razak,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Tunggal,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P035/N12,Bukit Tunggal,Bukit Tunggal,Fatimah Lailati Omar,Fatimah Lailati Binti Omar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Tunggal,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P035/N12,Bukit Tunggal,Bukit Tunggal,Tuan Arif Sahibu Fadilah Tuan Ahmad,Tuan Arif Sahibu Fadilah B Tuan Ahmad,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Tunggal,,National Front,Barisan Nasional,UMNO,,,,,,,
P036/N13,Wakaf Mempelam,Wakaf Mempelam,Mohd Zubir Mohamed,Mohd Zubir Bin Mohamed,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Wakaf Mempelam,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P036/N13,Wakaf Mempelam,Wakaf Mempelam,Salleh Othman,Salleh Bin Othman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Wakaf Mempelam,,National Front,Barisan Nasional,UMNO,,,,,,,
P036/N13,Wakaf Mempelam,Wakaf Mempelam,Wan Sukairi Wan Abdullah,Wan Sukairi Bin Wan Abdullah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Wakaf Mempelam,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P036/N14,Bandar,Bandar,Ahmad Shah Muhamed,Ahmad Shah Bin Muhamed,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bandar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P036/N14,Bandar,Bandar,Azan Ismail,Azan Bin Ismail,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bandar,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P036/N14,Bandar,Bandar,Toh Seng Cheng,Toh Seng Cheng,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bandar,,National Front,Barisan Nasional,MCA,,,,,,,
P036/N15,Ladang,Ladang,Zuklifli Mohamad,Zuklifli Bin Mohamad,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ladang,,People’s Justice Party,Parti Keadilan Rakyat,UMNO,,,,,,,
P036/N15,Ladang,Ladang,Mohd Sabri Alwi,Mohd Sabri Alwi,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ladang,,National Front,Barisan Nasional,PAS,,,,,,,
P036/N15,Ladang,Ladang,Tengku Hassan Tengku Omar,Tengku Hassan Bin Tengku Omar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ladang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PPBM,,,,,,,
P036/N16,Batu Buruk,Batu Buruk,Muhammad Khalil Abdul Hadi,Muhammad Khalil Bin Abdul Hadi,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Buruk,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
