area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P054/N01,Pengkalan Hulu,Pengkalan Hulu,Ahmad Safwan Mohamad,Ahmad Safwan Bin Mohamad,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Pengkalan Hulu,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P054/N01,Pengkalan Hulu,Pengkalan Hulu,Aznel Ibrahim,Aznel Bin Ibrahim,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Pengkalan Hulu,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P054/N01,Pengkalan Hulu,Pengkalan Hulu,Mohamad Hamidi Ismail,Mohamad Hamidi Bin Ismail,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Pengkalan Hulu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P054/N02,Temengor,Temengor,Md Pozi Md Sani,Md Pozi Bin Md Sani,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Temengor,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P054/N02,Temengor,Temengor,Mohd Fadzil Abdul Aziz,Mohd Fadzil Bin Abdul Aziz,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Temengor,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P054/N02,Temengor,Temengor,​​​​​​​Salbiah Mohamed,​​​​​​​Salbiah BInti Mohamed,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Temengor,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P055/N03,Kenering,Kenering,Azhar Rasdi,Azhar Bin Rasdi,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kenering,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P055/N03,Kenering,Kenering,Mohd Tarmizi Idris,Mohd Tarmizi Bin Idris,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kenering,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P055/N03,Kenering,Kenering,Noor Sham Abu Samah,Noor Sham Binti Abu Samah,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kenering,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P055/N04,Kota Tampan,Kota Tampan,Muhammad Rif'aat Razman,Muhammad Rif'aat Bin Razman,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kota Tampan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P055/N04,Kota Tampan,Kota Tampan,Noor Hasnida Mohd Hashim,Noor Hasnida Binti Mohd Hashim,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kota Tampan,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P055/N04,Kota Tampan,Kota Tampan,Saarani Mohamad,Saarani Bin Mohamad,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kota Tampan,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P056/N05,Selama,Selama,Faizul Arby Mohd Shohor,Faizul Arby Bin Mohd Shohor,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Selama,,National Front,Barisan Nasional,UMNO,,,,,,,
P056/N05,Selama,Selama,Mohd Akmal Kamaruddin,Mohd Akmal BIn Kamaruddin,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Selama,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P056/N05,Selama,Selama,Razali Ismail,Razali Bin Ismail,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Selama,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P056/N06,Kubu Gajah,Kubu Gajah,Khalil Yahaya,Khalil Bin Yahaya,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kubu Gajah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P056/N06,Kubu Gajah,Kubu Gajah,Mat Supri Musa,Mat Supri Bin Musa,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kubu Gajah,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P056/N06,Kubu Gajah,Kubu Gajah,Saliza Ahmad,Saliza Binti Ahmad,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kubu Gajah,,National Front,Barisan Nasional,UMNO,,,,,,,
P056/N07,Batu Kurau,Batu Kurau,Mohd Sharir Mohd Hassan,Mohd Sharir Bin Mohd Hassan,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Batu Kurau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P056/N07,Batu Kurau,Batu Kurau,Muhamad Aiman Aizuddin Md Husin,Muhamad Aiman Aizuddin Bin Md Husin,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Batu Kurau,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P056/N07,Batu Kurau,Batu Kurau,Muhammad Amin Zakari,Muhammad Amin Bin Zakari,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Batu Kurau,,National Front,Barisan Nasional,UMNO,,,,,,,
P056/N07,Batu Kurau,Batu Kurau,Zainal Abidin Abd Rahman,Zainal Abidin BIn Abd Rahman,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Batu Kurau,,Pan-Malaysian Islamic Front,Barisan Jemaah Islamiah Se-Malaysia,BERJASA,,,,,,,
P057/N08,Titi Serong,Titi Serong,Abu Bakar Hussain,Abu Bakar Bin Hussain,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Titi Serong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P057/N08,Titi Serong,Titi Serong,Hasnul Zulkarnain Abd Munaim,Hasnul Zulkarnain Bin Abd Munaim,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Titi Serong,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P057/N08,Titi Serong,Titi Serong,Norsalewati Mat Norwani,Norsalewati Binti Mat Norwani,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Titi Serong,,National Front,Barisan Nasional,UMNO,,,,,,,
P057/N09,Kuala Kurau,Kuala Kurau,Abdul Baharin Mat Desa,Abdul Baharin BIn Mat Desa,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kuala Kurau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P057/N09,Kuala Kurau,Kuala Kurau,Abdul Yunus Jamahri,Abdul Yunus Bin Jamahri,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kuala Kurau,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P057/N09,Kuala Kurau,Kuala Kurau,Shahrul Nizam Razali,Shahrul Nizam Bin Razali,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Kuala Kurau,,National Front,Barisan Nasional,UMNO,,,,,,,
P058/N10,Alor Pongsu,Alor Pongsu,Ahmad Zaki Husin,Ahmad Zaki BIn Husin,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Alor Pongsu,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P058/N10,Alor Pongsu,Alor Pongsu,Sham Mat Sahat,Sham Bin Mat Sahat,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Alor Pongsu,,National Front,Barisan Nasional,UMNO,,,,,,,
P058/N10,Alor Pongsu,Alor Pongsu,Wan Ahmad Tarmizi Abdul Aziz,Wan Ahmad Tarmizi Bin Abdul Aziz,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Alor Pongsu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P058/N11,Gunong Semanggol,Gunong Semanggol,Ismail Ali,Ismail BIn Ali,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Gunong Semanggol,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P058/N11,Gunong Semanggol,Gunong Semanggol,Razman Zakaria,Razman Bin Zakaria,GE14 Candidate for Perak Assembly,,GE14 Candidate State Representative for Gunong Semanggol,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
