area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P151/N26,Machap,Machap,Azlisham Azahar,Azlisham Bin Azahar,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Machap,,Malaysian Islamic Party,Malaysian Islamic Party,PAS,,,,,,,
P151/N27,Layang Layang,Layang Layang,Mohd Jubri Selamat,Mohd Jubri Bin Selamat,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Layang Layang,,Malaysian Islamic Party,Malaysian Islamic Party,PAS,,,,,,,
P151/N27,Layang Layang,Layang Layang,Murugan Muthu Samy,Murugan A/L Muthu Samy,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Layang Layang,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P151/N27,Layang Layang,Layang Layang,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Layang Layang,,National Front,National Front,UMNO,,,,,,,
P152/N28,Mengkibol,Mengkibol,Chew Chong Sin ,Chew Chong Sin ,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Mengkibol,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P152/N28,Mengkibol,Mengkibol,Chin Sim Lai,Chin Sim Lai,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Mengkibol,,National Front,National Front,MCA,,,,,,,
P152/N29,Mahkota,Mahkota,Md Jais Sarday,Md Jais Bin Sarday,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Mahkota,,National Front,National Front,UMNO,,,,,,,
P152/N29,Mahkota,Mahkota,Muhamad Said Jonit,Muhamad Said Bin Jonit,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Mahkota,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P152/N29,Mahkota,Mahkota,Muhammad Hasbullah Md Najib,Muhammad Hasbullah Bin Md Najib,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Mahkota,,Malaysian Islamic Party,Malaysian Islamic Party,PAS,,,,,,,
P153/N30,Paloh,Paloh,Shamugam Munisamy,Shamugam A/L Munisamy,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Paloh,,Independent,Bebas,,,,,,,,
